,accuracy,precision,recall,f1,roc_auc,pr_auc,samples,stations,avg_probability
warsaw,0.7032269760696157,0.04105571847507331,0.9722222222222222,0.07878446820483961,0.9374005020818026,0.2342065363476704,5516,72,0.32752394634755466
toronto,0.6882947505705902,0.04618473895582329,0.8846153846153846,0.08778625954198473,0.8933051090700345,0.26997309619763343,6134,104,0.3492483122073083
sydney,0.9054955617119919,0.06837366347777153,0.8836363636363637,0.12692609036301908,0.9668986166402047,0.3910128871273923,35374,275,0.1449288857380634
