h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
89194ada97bffff,965.7145,0,0,2,0,0,0,0,london,0.03747412856421916,3963.0,85.9502960258092
89194ad2e73ffff,965.3949,0,0,2,0,0,0,0,london,0.03747412856421916,3963.0,85.9502960258092
89194adab53ffff,926.6649,0,0,2,0,0,0,0,london,0.03747412856421916,3963.0,85.9502960258092
891f1d48b2bffff,687.3375,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f18b0883ffff,688.2311,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f1d4d617ffff,687.7383,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f1d4b287ffff,688.5066,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f1d4814fffff,688.60913,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f1d4a813ffff,687.33984,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
89195dac89bffff,688.8772,0,0,1,0,0,0,0,london,0.03746843701345005,3966.0,85.93966036799377
891f1d4d67bffff,687.3114,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f1d4de13ffff,688.8606,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f18b04b3ffff,686.89703,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f1d4adc3ffff,688.68286,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f18b2487ffff,687.33655,0,0,1,0,0,0,0,berlin,0.03746843701345005,3966.0,85.93966036799377
891f18b1cd3ffff,771.8751,0,0,3,3,0,0,0,berlin,0.037467861515933926,3978.0,85.89711773673201
89195daeac3ffff,1118.3182,1,0,2,0,0,0,0,london,0.037440302224046144,3979.0,85.8935725174602
