city,accuracy,precision,recall,f1,samples,stations,avg_probability
warsaw,0.9595721537345903,0.13170731707317074,0.375,0.19494584837545126,5516,72,0.09213445330883065
toronto,0.9535376589501141,0.16104868913857678,0.41346153846153844,0.23180592991913745,6134,104,0.09779462804362651
sydney,0.9864307118222423,0.22666666666666666,0.3090909090909091,0.26153846153846155,35374,275,0.031609864643324506
